supplier,category,receipts,on_time_pct,acceptance_fill_pct,rejected_cost_inr
NorthStar Frozen,Frozen Foods,216,90.74,99.85,3162.05
EcoServe Packaging,Packaging,189,91.53,99.79,1898.21
Urban Dairy Co-op,Dairy,191,92.67,99.74,3970.14
SpiceWorks,Sauces & Seasoning,197,92.89,99.7,7775.81
FarmFresh Proteins,Chicken & Eggs,200,94.0,99.41,11048.89
Prime Poultry,Chicken & Eggs,218,94.5,99.65,8761.96
FlavourCraft,Sauces & Seasoning,215,94.42,99.88,1364.36
HarvestLink Produce,Fresh Produce,180,95.0,99.56,1506.93
HygieneHub,Cleaning & Consumables,195,94.87,99.8,1710.68
PantrySource,Staples,220,95.0,99.8,11292.54
FrostBite Foods,Frozen Foods,198,94.95,99.88,3276.79
MilkyWay Foods,Dairy,205,96.1,99.69,2004.89
GrainRoute Wholesale,Staples,207,96.62,99.7,45702.77
GreenBasket Farms,Fresh Produce,175,96.57,99.76,455.4
CleanPro Supply,Cleaning & Consumables,215,96.74,99.87,3568.62
PackRight Solutions,Packaging,204,98.53,99.78,1871.52
